t,M,T,P1,mdot
6.699999999999992,4.560758510532038,275.95544389142265,3352692.669354759,0.29240447091061755
6.799999999999992,4.531518063440976,275.8390230532235,3342882.1440804293,0.28851424811437465
6.8999999999999915,4.502666638629539,275.72318632165087,3333141.745165951,0.2845877933652142
6.999999999999991,4.474207859293018,275.6079745010485,3323474.5462478455,0.2806250772805492
7.099999999999991,4.446145351564963,275.4934291513962,3313883.6578069935,0.27662608407630396
7.19999999999999,4.418482743157333,275.37959258830995,3304372.227001749,0.27259081243233485
7.29999999999999,4.3912236619141,275.2665071274057,3294943.374601409,0.26851925086695244
7.39999999999999,4.364371736827405,275.1542173512072,3285600.383970366,0.26441145468822647
7.499999999999989,4.337930591358582,275.04276708660245,3276346.4490026683,0.26026744564832416
7.599999999999989,4.311903846793749,274.9322009161152,3267184.800507731,0.256087262604669
7.699999999999989,4.286295120533282,274.8225656891774,3258118.831077489,0.2518710179899277
7.799999999999988,4.261108018734289,274.713906743949,3249151.782416633,0.24761876416615725
7.899999999999988,4.236346142317673,274.6062716854977,3240287.0582067417,0.24333063055662457
7.999999999999988,4.212013079262011,274.4997073632554,3231527.9748293953,0.23900671417114355
8.099999999999987,4.188112407844897,274.39426213792603,3222877.948586112,0.2346471656439643
8.199999999999987,4.1646476912805,274.2899851258495,3214340.433535748,0.23025216419840566
8.299999999999986,4.141622474860659,274.1869239320936,3205918.736741245,0.2258218269463827
8.399999999999986,4.119040292166021,274.08512918427016,3197616.3898138953,0.22135639322330558
8.499999999999986,4.0969046528436905,273.98465075435513,3189436.840274509,0.21685607517334038
8.599999999999985,4.075219045326357,273.88553775868843,3181383.4531628415,0.21232105441916732
8.699999999999985,4.05398693988444,273.78784233615374,3173459.818803775,0.2077516494658238
8.799999999999985,4.0332117749378575,273.69161284745485,3165669.201592866,0.20314801668128435
8.899999999999984,4.012896973269729,273.59690218711205,3158015.215005588,0.1985105256008235
8.999999999999984,3.9930459207096467,273.50376022710066,3150501.210461,0.19383941727332965
9.099999999999984,3.9736619789823138,273.412238350669,3143130.645473025,0.18913501470643088
9.199999999999983,3.9547484775116706,273.3223879410647,3135906.962438779,0.18439765622006127
9.299999999999983,3.9363087118896645,273.23425962589965,3128833.5293204174,0.17962765758700394
9.399999999999983,3.918345946130964,273.14790478842156,3121913.762451633,0.17482539147225368
9.499999999999982,3.900863406983739,273.06337405624265,3115151.006571131,0.16999121106285683
9.599999999999982,3.8838642858774532,272.9807180569744,3108548.5969802793,0.16512549115331338
9.699999999999982,3.8673517367621217,272.899987418229,3102109.8609303576,0.16022863188796244
9.799999999999981,3.8513288735733253,272.8212312563462,3095837.998777706,0.15530096955809972
9.89999999999998,3.8357987766175152,272.7445009545736,3089736.3865253315,0.15034300843328052
9.99999999999998,3.820764475774187,272.66984411797944,3083808.096306594,0.1453550492554518
10.09999999999998,3.806228970848642,272.5973106185394,3078056.378998449,0.14033756890938226
10.19999999999998,3.7921952139577035,272.5269473056853,3072484.245878462,0.13529087580058463
10.29999999999998,3.778666126377645,272.4588017844851,3067094.770323403,0.13021535828504446
10.399999999999979,3.7656445905491407,272.3929216600068,3061891.0292664203,0.12511144334675867
10.499999999999979,3.753133446214465,272.329353026046,3056875.9855721174,0.119979482987424
10.599999999999978,3.7411354979157228,272.2681397094907,3052052.430774319,0.11481967331164991
10.699999999999978,3.729653530584558,272.20932704850077,3047423.284815333,0.10963235426921537
10.799999999999978,3.7186902951576366,272.15295811432827,3042991.299992849,0.1044176928744476
10.899999999999977,3.708248525870192,272.0990752225888,3038759.1820647,0.09917578661276918
10.999999999999977,3.698330947208915,272.04772068889827,3034729.651300515,0.09390672314366508
11.099999999999977,3.6889402748945486,271.9989345619649,3030905.266356976,0.0886103264589898
11.199999999999976,3.6800792422486497,271.9527561348601,3027288.544887037,0.08328625023877936
11.299999999999976,3.6717506172247716,271.9092254562921,3023882.083457213,0.07793410955758427
11.399999999999975,3.6639572062690133,271.8683795524247,3020688.263461829,0.0725529525447258
11.499999999999975,3.6567019110145407,271.8302554494219,3017709.489556785,0.06714147281841376
11.599999999999975,3.649987763732699,271.79489017344724,3014948.1910652593,0.0616978488214705
11.699999999999974,3.643817978850552,271.762319995029,3012406.7644613665,0.05621935292043573
11.799999999999974,3.6381960435585086,271.73258194033104,3010087.692806089,0.05070214105971848
11.899999999999974,3.6331258294525366,271.7057130355171,3007993.4881570153,0.0451403780488388
11.999999999999973,3.6286117916476526,271.68175181802314,3006126.8107707435,0.039525163033091254
12.099999999999973,3.6246592753443436,271.6607406034651,3004490.646877975,0.033842541308921115
12.199999999999973,3.6212750212134517,271.6427269969107,3003088.4274116913,0.028068671017497722
12.299999999999972,3.618468154111702,271.62777144923996,3001924.6171653112,0.02215962331761486
12.399999999999972,3.6162521917799406,271.61595330223247,3001005.1859916137,0.016015580359624103
12.499999999999972,3.6146506337439783,271.60740630346015,3000340.372556021,0.009320042655792051
12.599999999999971,3.613718629478399,271.60243044041374,2999953.3832272636,0.0
