t_s,M_kg,P_bar,T_K,mdot_kg_s,V2_m_s,rho1_kg_m3,rho2_kg_m3,h1_J_kg,h2_J_kg
0.9000000000000002,12.46857850365644,3.483807176725806,208.4039246509597,0.03494649161313769,69.90549210836481,1158.0734657546484,29.467863689177893,41212.36959033018,37058.60843745442
0.9500000000000003,12.466831179075783,3.4998732171122833,208.5054112118296,0.03495004966300614,70.18111965982317,1157.7506627343448,29.35512081236259,41391.01114083435,37204.430017633895
1.0000000000000002,12.465083676592633,3.516014350344364,208.6070152962953,0.03495360924481543,70.45695119389882,1157.4273546642094,29.243176656619198,41569.885676308055,37350.33100049953
1.0500000000000003,12.463335996130391,3.53223093861432,208.70873713940384,0.03495717038490014,70.7329872764657,1157.103540072892,29.132022635202766,41748.99378662633,37496.31162093157
1.1000000000000003,12.461588137611146,3.54852349653737,208.8105779163912,0.0349607331421779,71.0092310231135,1156.7792144901593,29.02164926970903,41928.3377185113,37642.37346159148
1.1500000000000004,12.459840100954038,3.5648924291846127,208.9125380973518,0.0349642975505306,71.28568363365494,1156.4543756837245,28.9120479906187,42107.9184786584,37788.517091208494
1.2000000000000004,12.458091886076511,3.5813381439235865,209.01461815238002,0.034967863643517144,71.56234630681838,1156.129021415885,28.8032103548084,42287.737075057245,37934.74307746079
1.2500000000000004,12.456343492894336,3.5978610504348647,209.11681855157016,0.034971431454392604,71.83922024028632,1155.8031494434879,28.695128043228813,42467.79451700377,38081.05198698126
1.3000000000000005,12.454594921321616,3.6144616371174636,209.21914023511113,0.03497500103249433,72.11630790343513,1155.476756018041,28.587792367497634,42648.092643508964,38227.44505772936
1.3500000000000005,12.452846171269991,3.6311403957863666,209.3215841431916,0.03497857242682449,72.39361176251435,1155.1498373830505,28.481194774628857,42828.63329540623,38373.923524987826
1.4000000000000006,12.45109724264865,3.6478976677986026,209.42415027581154,0.03498214565328991,72.67113173721982,1154.8223927761542,28.37532781096844,43009.41665805943,38520.487278286324
1.4500000000000006,12.449348135365986,3.664733988831975,209.52683980820694,0.034985720768463964,72.94887092630317,1154.4944176775748,28.27018292365482,43190.444989623116,38667.13788561404
1.5000000000000007,12.447598849327562,3.681649743611131,209.62965297542507,0.03498929779587171,73.22682988306607,1154.1659105628373,28.16575264689528,43371.718892554236,38813.875570039265
1.5500000000000007,12.445849384437768,3.698645474212993,209.7325909527018,0.03499287679145188,73.50501170112366,1153.836866897071,28.06202867429329,43553.24062848586,38960.701895080885
1.6000000000000008,12.444099740598196,3.715721492701282,209.83565350499003,0.03499645776183029,73.7834156611763,1153.507286646745,27.959004234770678,43735.00997371399,39107.61641107856
1.6500000000000008,12.442349917710104,3.7328784642605473,209.93884251266712,0.03500004078684645,74.06204675697572,1153.1771630072358,27.856670551858244,43917.03043694946,39254.621682591875
1.7000000000000008,12.440599915670761,3.7501167455289197,210.0421579757333,0.035003625880731665,74.34090490082832,1152.8464951800413,27.75502084066303,44099.30221217692,39401.71759192402
1.7500000000000009,12.438849734376724,3.7674367733538086,210.1456003642827,0.03500721307379185,74.61999127423195,1152.515280857825,27.654047947044177,44281.82632382152,39548.90469072004
1.800000000000001,12.437099373723035,3.7848390661830216,210.24917061850428,0.03501080241236026,74.89930832529194,1152.1835162211978,27.553744364123176,44464.60462740553,39696.18419793946
1.850000000000001,12.435348833602417,3.8023241857704484,210.35286991363392,0.035014393950622,75.17885913265202,1151.8511966888734,27.454102473219656,44647.63939530557,39843.5576638915
